Year,State,Region,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,A%_<40,A%_40-64,A%_65-84,A%_85+,F%,M%,White%,AfrA%,His%,Asian%,Indig%,Unknown%,ha%,af%,hf%,dm%,hc%,hyp%,ihd%,strokeorTIA%,obesity%,pad%,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of people who used Medicare Part D prescription drugs,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Part B drug FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid clinic services,Total Medicaid FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid clinic payments
2006,AL,Southeast,Medicare Only,612504,526262,280727,245535,0.0158,0.164,0.727,0.0929,0.526,0.474,0.826,0.164,0.0024,0.0037,0.0006,0.0037,0.0084,0.0686,0.154,0.24,0.384,0.543,0.294,0.0422,0.0303,0.0762,328578,372674,417903,155549,219533,4169066692,1261371939,30934133,143165672,267649871,158354514,115206166,233237145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,AL,Southeast,Medicaid Only (Disability),111911,12686,6209,6477,0.577,0.416,NaN,NaN,0.52,0.48,0.386,0.5,0.0031,0.0001,0.0019,0.0047,0.0043,0.0073,0.0656,0.104,0.0543,0.198,0.0771,0.0269,0.0262,0.016,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77835,33462,92215,30418,613732275,43085566,16750555,237142276,21546458
2006,AR,Southeast,Full Benefit,75034,74692,49573,25119,0.109,0.273,0.436,0.182,0.663,0.337,0.7,0.272,0.0075,0.0119,0.0046,0.0047,0.013,0.0667,0.282,0.296,0.219,0.556,0.329,0.084,0.065,0.134,39074,51431,56990,28532,67511,1033617206,279835073,35827962,19712859,31055135,16199191,33444045,215551975,48404,27958,40780,14708,994990149,30432188,16442034,17145488,17151545
2006,AR,Southeast,Partial Benefit,40523,40231,23505,16726,0.0616,0.406,0.474,0.0589,0.584,0.416,0.763,0.216,0.0029,0.0096,0.0053,0.0025,0.0105,0.0478,0.192,0.273,0.282,0.513,0.32,0.0405,0.0663,0.0834,20938,27209,30307,15291,34388,382013440,111887630,6473785,9044252,18174853,10142788,16845367,75859868,14546,3125,2872,4185,67393211,10258024,2763918,733654,619693
2006,AR,Southeast,Medicare Only,393612,365351,194054,171297,0.0131,0.15,0.737,0.0998,0.522,0.478,0.907,0.0774,0.0026,0.0057,0.003,0.0038,0.0086,0.0628,0.143,0.196,0.311,0.465,0.3,0.0373,0.0248,0.0683,209985,243769,279906,99304,158494,2389731951,775904106,27406688,93828425,165528978,89574230,77166511,158126057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,AR,Southeast,Medicaid Only (Disability),70205,16389,7366,9014,0.626,0.372,NaN,NaN,0.497,0.503,0.474,0.275,0.0151,0.009,NaN,NaN,0.0055,0.0061,0.0531,0.0783,0.0218,0.11,0.0635,0.0176,0.0116,0.0137,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46107,28335,57392,24720,619777762,28728424,27735753,150194165,68621105
2006,AZ,Southwest,Full Benefit,112006,61598,35591,26007,0.119,0.307,0.46,0.114,0.605,0.395,0.546,0.0572,0.0261,0.265,0.0982,0.0074,0.0098,0.0444,0.174,0.295,0.225,0.434,0.239,0.0487,0.0712,0.0978,28263,37231,37857,17767,95284,1473380609,235488070,15048168,9967388,27746404,15721611,16146191,234579935,70873,32854,48819,18965,72319943,4545962,6439027,464430,237826
2006,AZ,Southwest,Partial Benefit,29160,25966,16443,9523,0.0243,0.232,0.627,0.117,0.636,0.364,0.734,0.0373,0.0092,0.175,0.0399,0.0051,0.0041,0.0178,0.0654,0.133,0.122,0.191,0.123,0.0136,0.0279,0.0361,4890,6287,6690,3000,24363,314603090,29442253,2012685,1543693,4420263,2809921,2904384,44815793,2138,740,952,641,2656648,569329,246849,9933,46665
2006,AZ,Southwest,Medicare Only,710739,464135,241599,222536,0.0081,0.0972,0.784,0.111,0.524,0.476,0.877,0.0199,0.0087,0.0751,0.0131,0.0064,0.0075,0.0698,0.119,0.18,0.359,0.439,0.267,0.0336,0.0282,0.0775,282347,306579,344358,103284,309834,4992788953,1100715065,20053232,108225344,269347009,176423698,80625883,251438592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,AZ,Southwest,Medicaid Only (Disability),81237,14784,6955,7829,0.612,0.373,NaN,NaN,0.487,0.513,0.416,0.0848,NaN,0.21,0.108,NaN,0.0043,0.0093,0.0597,0.176,0.0579,0.18,0.0724,0.0208,0.0484,0.0168,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52299,27624,58928,23435,128608491,16615535,7669961,4043822,432096
2006,CA,West,Full Benefit,1099431,859369,486580,372789,0.0616,0.227,0.594,0.117,0.587,0.413,0.369,0.0972,0.204,0.307,0.0057,0.0169,0.0082,0.0471,0.217,0.341,0.359,0.55,0.334,0.0519,0.0706,0.162,533644,639817,728190,317567,980569,15039087096,3725727400,241014333,234848026,564291188,331758711,361242098,3094827810,174077,358102,666643,198652,8606197282,14141534,110563959,234915331,173696179
2006,CA,West,Partial Benefit,21622,21309,13653,7656,0.0211,0.188,0.662,0.129,0.643,0.357,0.528,0.078,0.12,0.255,0.0046,0.0138,0.0029,0.0183,0.0834,0.134,0.126,0.189,0.127,0.0168,0.0268,0.0447,3911,4943,5620,2434,17694,245559223,31345184,2512912,1665799,3935200,2309209,2656091,35764699,706,1221,2812,997,27266686,64652,290158,763272,811927
2006,CA,West,Medicare Only,3355488,1833522,979667,853855,0.0064,0.0826,0.777,0.134,0.539,0.461,0.745,0.0535,0.0604,0.122,0.0029,0.0169,0.0064,0.0723,0.14,0.187,0.363,0.445,0.271,0.036,0.029,0.0746,1060836,1146312,1278718,363432,1687843,25679698309,4756135280,105144257,467961286,1088196117,619215686,266007713,1375763951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,CA,West,Medicaid Only (Disability),637666,6314,3321,2993,0.442,0.542,NaN,NaN,0.504,0.496,0.345,0.188,0.101,0.218,0.0072,0.0001,0.0043,0.0089,0.0638,0.113,0.0412,0.125,0.0662,0.0198,0.0195,0.0084,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,406275,294837,483407,188771,6323281114,167337372,189178804,1529244602,280779142
2006,CO,West,Full Benefit,57903,42551,26657,15894,0.0899,0.262,0.468,0.181,0.642,0.358,0.648,0.0605,0.0416,0.233,0.0068,0.0103,0.009,0.0586,0.225,0.272,0.219,0.449,0.24,0.0499,0.0735,0.106,24497,31932,33777,18241,51603,812937848,154059401,11215985,7765524,19963559,9634617,24322795,188363221,22683,27010,16255,35444,846696514,3346721,30645340,9241787,10542253
2006,CO,West,Partial Benefit,17432,17351,9840,7511,0.0571,0.403,0.487,0.0526,0.568,0.432,0.662,0.0765,0.0128,0.236,0.0071,0.0052,0.0058,0.0244,0.09,0.189,0.199,0.312,0.158,0.0156,0.0583,0.0329,5839,8266,8296,4233,14398,163004585,33391642,2935139,1799280,5136953,2205859,4839263,34844546,4059,2687,473,6277,6744513,622725,487157,309843,1468196
2006,CO,West,Medicare Only,489271,315355,167837,147518,0.0107,0.0954,0.78,0.114,0.539,0.461,0.874,0.0278,0.0108,0.0783,0.0019,0.0069,0.0066,0.0621,0.12,0.157,0.284,0.39,0.217,0.0269,0.026,0.0566,184344,206438,233052,81866,215195,3211177765,707304522,12929082,77285435,156378748,74901960,83425875,183058736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,CO,West,Medicaid Only (Disability),46160,1368,673,695,0.591,0.402,NaN,NaN,0.545,0.455,0.371,0.0557,0.0164,0.16,0.006,0.0004,NaN,NaN,0.0534,0.098,0.0512,0.118,0.0643,0.0212,0.0307,0.0095,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26783,17662,31624,32751,435113279,18904498,36167198,105726157,44845501
2006,CT,Northeast,Full Benefit,73863,73834,47382,26452,0.0981,0.293,0.387,0.222,0.642,0.358,0.671,0.141,0.0249,0.15,0.0014,0.0124,0.0107,0.0913,0.24,0.331,0.305,0.553,0.322,0.0792,0.0727,0.25,44988,51068,54616,24219,68596,1269146008,326466012,43122338,11807827,32038585,20284291,21145412,306920027,40046,43390,61321,11440,2134855397,7152420,70536055,53932807,6791898
2006,CT,Northeast,Partial Benefit,21763,21756,13843,7913,0.0438,0.286,0.546,0.124,0.636,0.364,0.754,0.12,0.0115,0.103,0.0011,0.0101,0.0091,0.063,0.139,0.275,0.366,0.504,0.267,0.0292,0.0559,0.0859,10792,13640,14815,6302,18403,249080110,67318923,8070853,4111859,9094328,5999685,4758368,51395064,5314,4311,3009,1865,20028464,940744,2206134,2463116,795515
2006,CT,Northeast,Medicare Only,458430,394670,223029,171641,0.0076,0.0729,0.772,0.147,0.557,0.443,0.907,0.0488,0.0095,0.0254,0.0005,0.0085,0.0084,0.0987,0.141,0.226,0.432,0.553,0.308,0.0358,0.0265,0.097,248474,276217,316370,90405,170761,3535277631,1166840046,28795282,108939335,218152888,131893726,55701914,165779391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,CT,Northeast,Medicaid Only (Disability),30150,30012,16693,13319,0.34,0.652,NaN,NaN,0.556,0.444,0.454,0.225,0.0135,0.0191,0.0017,0.284,0.0042,0.0136,0.0677,0.213,0.142,0.26,0.111,0.0188,0.0573,0.0194,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24042,16572,25326,9882,539650208,25797983,37549914,140969801,13475789
2006,DC,Northeast,Full Benefit,17531,17499,10959,6540,0.0751,0.3,0.501,0.124,0.626,0.374,0.0635,0.864,0.0196,0.0443,0.0009,0.0074,0.0105,0.0342,0.248,0.37,0.265,0.621,0.299,0.0789,0.0905,0.172,8349,10889,11287,4851,14960,318761705,123914925,5069654,3141674,9759729,4574960,4330747,51501820,9478,8706,7773,2784,330733580,12416054,14452303,3354130,1805403
2006,DC,Northeast,Partial Benefit,2514,2513,1401,1112,0.0247,0.361,0.556,0.0585,0.557,0.443,0.0648,0.886,0.0068,0.037,NaN,NaN,0.0092,0.0283,0.197,0.373,0.332,0.604,0.275,0.0489,0.0939,0.0987,1124,1533,1710,679,2025,40368028,15585945,548131,492209,1553780,690330,673814,6486379,935,582,272,202,8633497,1143936,1198984,156868,38607
2006,DC,Northeast,Medicare Only,57555,41795,23986,17809,0.0091,0.0674,0.751,0.173,0.567,0.433,0.327,0.624,0.0109,0.0203,0.0003,0.0171,0.0064,0.0463,0.139,0.231,0.321,0.5,0.248,0.0381,0.029,0.0946,23067,27909,30800,8241,12392,382433414,150363168,2002752,8800743,20997704,13791456,5262183,12421346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,DC,Northeast,Medicaid Only (Disability),23857,21077,9625,11452,0.464,0.518,NaN,NaN,0.443,0.557,0.0342,0.895,NaN,0.0162,NaN,0.0042,0.0039,0.0061,0.0798,0.158,0.0563,0.244,0.101,0.0228,0.0483,0.023,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12702,7609,14365,6562,366015240,6795287,8827031,54176701,12761502
2006,DE,Northeast,Full Benefit,10835,10804,7051,3753,0.128,0.322,0.378,0.172,0.653,0.347,0.551,0.355,0.0313,0.052,0.0014,0.0092,0.0116,0.0715,0.257,0.34,0.359,0.589,0.349,0.0974,0.0938,0.227,6336,7639,8297,3532,9914,183696134,52330388,2771345,2202947,5607532,3421561,3664222,43416968,6641,1522,5212,1133,274330158,469301,1099937,2032155,1426941
2006,DE,Northeast,Partial Benefit,11523,11522,7577,3945,0.0634,0.336,0.502,0.0988,0.658,0.342,0.63,0.312,0.0097,0.0402,0.0011,0.0073,0.0114,0.0572,0.177,0.319,0.464,0.595,0.325,0.0466,0.0859,0.111,6501,8196,8549,3754,9799,136298075,44990669,2942633,2311401,6314076,3976693,3155785,26349025,3727,175,575,672,7652539,259735,14811,917436,606726
2006,DE,Northeast,Medicare Only,115737,107491,58430,49061,0.0093,0.102,0.784,0.105,0.538,0.462,0.858,0.112,0.0097,0.0125,0.0004,0.0075,0.0096,0.0869,0.143,0.261,0.534,0.584,0.342,0.0392,0.0427,0.104,67836,77173,84825,25899,39765,836702414,303765607,3882890,22571098,63059534,40353702,16726042,45962602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,DE,Northeast,Medicaid Only (Disability),12181,2603,1230,1373,0.668,0.328,NaN,NaN,0.476,0.524,0.468,0.443,0.0079,0.0773,NaN,NaN,NaN,0.0104,0.0396,0.0941,0.0607,0.123,0.0549,0.0219,0.025,0.0177,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8152,4367,10210,753,112141647,1689262,1285360,33020923,1103971
2006,FL,Southeast,Full Benefit,324770,322066,210458,111608,0.0808,0.21,0.522,0.187,0.654,0.346,0.419,0.203,0.0217,0.346,0.0012,0.009,0.0119,0.0603,0.258,0.325,0.334,0.555,0.41,0.0868,0.072,0.214,189408,218408,236003,120715,292743,6714686953,1324937731,88985546,216966005,234149719,157957631,332700035,1101435656,84349,59858,123503,41162,3327413474,7809297,36314392,44364658,6928693
2006,FL,Southeast,Partial Benefit,219029,218947,129995,88952,0.0554,0.322,0.553,0.0699,0.594,0.406,0.519,0.205,0.009,0.26,0.001,0.0063,0.0072,0.0331,0.141,0.238,0.288,0.385,0.279,0.0337,0.0656,0.0924,87272,108453,118745,59902,194324,3248700065,556719304,49194367,97867055,120167272,79847986,121246410,565086792,27292,7941,6482,15803,108285454,2431035,6106135,8075357,2356187
2006,FL,Southeast,Medicare Only,2671181,2009201,1076603,932598,0.0068,0.0867,0.781,0.125,0.531,0.469,0.839,0.0658,0.007,0.0812,0.0005,0.0068,0.0087,0.0854,0.146,0.228,0.487,0.531,0.381,0.0418,0.033,0.0944,1356978,1461678,1634051,535346,1119046,21373272273,4642248966,97574585,661584396,1544423633,996477563,433929223,1036409963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,FL,Southeast,Medicaid Only (Disability),291351,82821,37289,45471,0.598,0.395,NaN,NaN,0.475,0.525,0.31,0.274,0.0075,0.143,0.0018,0.0011,0.0072,0.0101,0.0663,0.103,0.0503,0.147,0.0927,0.0289,0.0313,0.0187,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142070,72187,157705,46477,2350743091,70019474,99562773,615019437,21869823
2006,GA,Southeast,Full Benefit,145289,144152,97319,46833,0.0963,0.277,0.464,0.163,0.676,0.324,0.481,0.462,0.0312,0.018,0.0007,0.0064,0.0108,0.0535,0.252,0.341,0.266,0.619,0.285,0.0732,0.0761,0.157,80233,97993,107154,52141,130786,2138261773,563752466,34749249,29738599,69045929,33729192,55046838,452675430,90277,66659,58598,14135,1427569525,14819468,15086145,23512859,4404159
2006,GA,Southeast,Partial Benefit,106245,106177,68960,37217,0.0441,0.34,0.538,0.0778,0.649,0.351,0.562,0.413,0.007,0.0131,0.0007,0.0038,0.0104,0.049,0.203,0.33,0.349,0.617,0.295,0.0418,0.0824,0.098,57772,73735,80687,42410,92482,1234080905,355183269,16741966,20925476,55383279,28739141,45404887,229302398,43116,31125,5237,5767,75301441,7216319,4981983,3323853,891929
2006,GA,Southeast,Medicare Only,873314,789841,428850,360990,0.0125,0.131,0.76,0.0966,0.537,0.463,0.797,0.18,0.0073,0.0099,0.0004,0.0054,0.0083,0.0634,0.133,0.235,0.387,0.54,0.273,0.036,0.0331,0.0768,468942,540835,619298,215369,340898,5749252754,1818381608,41689279,189748565,411335107,220144517,160421296,382389760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,GA,Southeast,Medicaid Only (Disability),155549,66247,32886,33361,0.569,0.423,NaN,NaN,0.515,0.485,0.323,0.433,0.0088,0.0094,0.0011,0.0002,0.0034,0.0065,0.0575,0.102,0.0483,0.17,0.0622,0.0211,0.0306,0.0206,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102691,61237,121493,30871,1344350989,84662165,50270789,375565364,23920554
2006,HI,West,Full Benefit,28379,28334,17180,11154,0.0643,0.223,0.553,0.159,0.606,0.394,0.195,0.0116,0.609,0.0984,0.0018,0.084,0.011,0.0458,0.172,0.301,0.387,0.548,0.23,0.0528,0.0433,0.0638,11090,15898,20348,6253,25230,296987315,86384569,2025623,4429422,9156056,4395674,4035788,75393309,16013,9688,23522,5319,314896553,1570933,4293348,6842105,4784989
2006,HI,West,Partial Benefit,2444,2436,1318,1118,0.0376,0.317,0.55,0.0953,0.541,0.459,0.295,NaN,0.478,0.103,NaN,0.108,0.0066,0.0378,0.129,0.227,0.275,0.357,0.178,0.03,0.0497,0.0349,658,959,1245,410,1939,23647320,5823265,NaN,NaN,541845,260193,259172,4822383,202,90,271,88,823234,13194,12911,90711,45410
2006,HI,West,Medicare Only,162885,89825,46741,43084,0.0066,0.0665,0.791,0.136,0.535,0.465,0.255,0.0061,0.574,0.052,0.0006,0.113,0.0071,0.0503,0.105,0.24,0.478,0.514,0.223,0.0344,0.0187,0.0481,42338,53161,66219,15264,59197,910737883,173743856,1679408,10761471,32668820,13463645,6859084,46111495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,HI,West,Medicaid Only (Disability),15632,13800,6618,7182,0.441,0.556,NaN,NaN,0.504,0.496,0.332,0.0203,0.607,0.0345,NaN,NaN,0.0037,0.0149,0.0818,0.159,0.128,0.199,0.0859,0.0192,0.0486,0.015,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10530,4614,12446,4697,154634724,3109714,6967906,43076756,5505693
2006,IA,Midwest,Full Benefit,63146,62715,38665,24050,0.134,0.352,0.324,0.19,0.616,0.384,0.92,0.0414,0.0135,0.0156,0.0026,0.0067,0.0103,0.0667,0.236,0.29,0.231,0.456,0.264,0.0488,0.08,0.185,36977,40071,41576,22309,58945,794571708,196195585,19357111,13620841,22082023,9527963,20582876,233192887,39694,35463,40201,10955,1024624933,8725844,15985719,10346856,3104868
2006,IA,Midwest,Partial Benefit,12159,12152,7317,4835,0.0586,0.287,0.587,0.0678,0.602,0.398,0.912,0.0506,0.01,0.0197,0.0043,0.0039,0.0094,0.0444,0.13,0.243,0.269,0.406,0.235,0.019,0.0522,0.0701,5316,6784,7107,3683,9829,95935168,26276765,1113486,1698598,3905047,1704285,2939637,19769507,3860,2300,973,1176,8657166,716376,454127,369149,200239
2006,IA,Midwest,Medicare Only,442469,388349,220022,168327,0.0055,0.0652,0.779,0.15,0.557,0.443,0.978,0.0093,0.0028,0.0054,0.0007,0.0038,0.0088,0.0769,0.133,0.197,0.338,0.465,0.266,0.0282,0.0262,0.099,237032,262799,287604,106427,224493,2649045887,875309887,11654118,78590885,162575158,75158581,63628265,185207417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,IA,Midwest,Medicaid Only (Disability),33936,4586,2180,2406,0.623,0.375,NaN,NaN,0.503,0.497,0.683,0.0919,0.0082,0.0101,0.0039,0.0132,0.0072,0.0118,0.0523,0.124,0.0643,0.143,0.075,0.0212,0.0397,0.0159,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24024,18442,28727,10473,458371965,21870331,20980836,106763175,5790204
2006,ID,West,Full Benefit,21335,21066,12952,8114,0.153,0.327,0.362,0.158,0.617,0.383,0.882,0.0045,0.0122,0.0719,0.0203,0.009,0.0071,0.061,0.225,0.275,0.199,0.39,0.221,0.0426,0.0722,0.0514,10509,12855,14274,7766,19163,274732065,58457465,7636722,2398633,8151778,3369697,8503087,79499312,10386,7094,8653,7001,339771250,852997,3457940,3472106,2020269
2006,ID,West,Partial Benefit,7889,7883,4410,3473,0.0852,0.393,0.47,0.0513,0.56,0.44,0.908,0.0062,0.0038,0.0592,0.0167,0.0063,0.0072,0.036,0.116,0.218,0.207,0.322,0.185,0.0175,0.0544,0.0334,3272,4088,4457,2229,6289,64975443,14866828,1840759,722372,2646335,1186672,2094981,15399968,1742,119,252,1233,3705331,98678,41243,201409,277192
2006,ID,West,Medicare Only,179328,145999,75940,70059,0.0087,0.0918,0.778,0.121,0.517,0.483,0.961,0.0017,0.0057,0.0195,0.0059,0.006,0.0061,0.068,0.127,0.187,0.276,0.384,0.224,0.0249,0.0232,0.0345,82227,87914,99487,37933,72783,1021468382,274647465,5604851,16735940,62204670,25067359,28390952,62007440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,ID,West,Medicaid Only (Disability),19943,6603,3351,3252,0.677,0.323,NaN,NaN,0.506,0.494,0.949,0.01,NaN,0.0118,0.0223,NaN,0.0039,0.007,0.0367,0.0918,0.048,0.0956,0.0403,0.0117,0.0339,0.0068,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12980,8097,16254,7087,258447647,7700900,8688879,57462165,5974776
2006,IL,Midwest,Full Benefit,263297,260814,160028,100786,0.109,0.333,0.427,0.131,0.611,0.389,0.573,0.272,0.0474,0.0961,0.001,0.0101,0.012,0.0558,0.278,0.32,0.291,0.545,0.322,0.0688,0.0948,0.171,150908,173363,187216,86968,233189,4248515594,1218290905,100713940,54385159,135541997,62760791,85814738,859406822,132711,101012,152878,25995,2796407585,9019956,60325159,51909480,5750171
