Year,State,Region,Number of People by Medicare-Medicaid Enrollment Type,Number of People,Number of People with FFS,Number of Females with FFS,Number of Males with FFS,A%_<40,A%_40-64,A%_65-84,A%_85+,F%,M%,White%,AfrA%,His%,Asian%,Indig%,Unknown%,ha%,af%,hf%,dm%,hc%,hyp%,ihd%,strokeorTIA%,obesity%,pad%,Number of FFS people who used Medicare procedures,Number of FFS people who used Medicare imaging services,Number of FFS people who used Medicare laboratory/testing services,Number of FFS people who used Medicare durable medical equipment,Number of people who used Medicare Part D prescription drugs,Total Medicare payments,Total Medicare IP Hospital FFS payments,Total Medicare Other IP Hospital FFS payments,Total Medicare Part B drug FFS payments,Total Medicare procedure FFS payments,Total Medicare imaging FFS payments,Total Medicare durable medical equipment FFS payments,Total Medicare Part D prescription drug FFS costs (total RX cost),Number of FFS people who used Medicaid lab/xray services,Number of FFS people who used Medicaid durable medical equipment services,Number of FFS people who used Medicaid drugs,Number of FFS people who used Medicaid clinic services,Total Medicaid FFS payments,Total Medicaid lab/xray FFS payments,Total Medicaid durable medical equipment FFS payments,Total Medicaid drug FFS payments,Total Medicaid clinic payments,NumHA,NumAF,NumHF,NumDM,NumHC,NumHYP,NumIHD,NumOBESITY,NumSTROKE,NumPAD
2006,GA,Southeast,Medicare Only,873314,789841,428850,360990,0.0125,0.131,0.76,0.0966,0.537,0.463,0.797,0.18,0.0073,0.0099,0.0004,0.0054,0.0083,0.0634,0.133,0.235,0.387,0.54,0.273,0.036,0.0331,0.0768,468942.0,540835.0,619298.0,215369.0,340898.0,5749252754,1818381608.0,41689279.0,189748565.0,411335107.0,220144517.0,160421296.0,382389760.0,,,,,,,,,,7248.5062,55368.107599999996,116150.762,205228.78999999998,337972.518,471589.56000000006,238414.722,28906.693399999996,31439.303999999996,67070.5152
2006,HI,West,Medicare Only,162885,89825,46741,43084,0.0066,0.0665,0.791,0.136,0.535,0.465,0.255,0.0061,0.574,0.052,0.0006,0.113,0.0071,0.0503,0.105,0.24,0.478,0.514,0.223,0.0344,0.0187,0.0481,42338.0,53161.0,66219.0,15264.0,59197.0,910737883,173743856.0,1679408.0,10761471.0,32668820.0,13463645.0,6859084.0,46111495.0,,,,,,,,,,1156.4835,8193.1155,17102.925,39092.4,77859.03,83722.89,36323.355,3045.9495,5603.244,7834.768499999999
2006,IA,Midwest,Medicare Only,442469,388349,220022,168327,0.0055,0.0652,0.779,0.15,0.557,0.443,0.978,0.0093,0.0028,0.0054,0.0007,0.0038,0.0088,0.0769,0.133,0.197,0.338,0.465,0.266,0.0282,0.0262,0.099,237032.0,262799.0,287604.0,106427.0,224493.0,2649045887,875309887.0,11654118.0,78590885.0,162575158.0,75158581.0,63628265.0,185207417.0,,,,,,,,,,3893.7272000000003,34025.8661,58848.377,87166.39300000001,149554.522,205748.08500000002,117696.754,11592.6878,12477.6258,43804.431000000004
2006,ID,West,Medicare Only,179328,145999,75940,70059,0.0087,0.0918,0.778,0.121,0.517,0.483,0.961,0.0017,0.0057,0.0195,0.0059,0.006,0.0061,0.068,0.127,0.187,0.276,0.384,0.224,0.0249,0.0232,0.0345,82227.0,87914.0,99487.0,37933.0,72783.0,1021468382,274647465.0,5604851.0,16735940.0,62204670.0,25067359.0,28390952.0,62007440.0,,,,,,,,,,1093.9008000000001,12194.304,22774.656,33534.336,49494.528000000006,68861.952,40169.472,4160.4096,4465.267199999999,6186.816000000001
2006,IL,Midwest,Medicare Only,1496264,1324207,751535,572672,0.0083,0.0748,0.779,0.138,0.559,0.441,0.846,0.0977,0.0125,0.0363,0.0003,0.0074,0.0093,0.0775,0.161,0.22,0.384,0.522,0.3,0.0389,0.0354,0.0942,771697.0,876868.0,980025.0,327056.0,588275.0,10853647229,3680200294.0,46768496.0,322079824.0,673498564.0,325282061.0,211018498.0,629863256.0,,,,,,,,,,13915.2552,115960.46,240898.50400000002,329178.08,574565.376,781049.8080000001,448879.2,52967.7456,58204.669599999994,140948.0688
2006,IN,Midwest,Medicare Only,832744,752914,421176,331738,0.0112,0.0997,0.77,0.119,0.554,0.446,0.924,0.0568,0.0038,0.0109,0.0003,0.0045,0.0094,0.0693,0.157,0.236,0.38,0.524,0.304,0.0377,0.0394,0.0892,443374.0,508084.0,565471.0,211252.0,311641.0,5533061204,1769553945.0,30578765.0,197275867.0,333403080.0,179138566.0,150497231.0,356623433.0,,,,,,,,,,7827.7936,57709.1592,130740.808,196527.584,316442.72000000003,436357.856,253154.176,32810.1136,31394.4488,74280.7648
2006,KS,Midwest,Medicare Only,368466,332563,186344,146219,0.0081,0.0811,0.768,0.143,0.553,0.447,0.932,0.0351,0.0051,0.0189,0.0038,0.0055,0.0085,0.0714,0.148,0.201,0.341,0.489,0.281,0.0337,0.0294,0.0857,205111.0,235182.0,255466.0,91255.0,166885.0,2487386496,764393154.0,18024599.0,95193334.0,161962873.0,84972002.0,67552649.0,160003552.0,,,,,,,,,,3131.9610000000002,26308.472400000002,54532.968,74061.666,125646.906,180179.874,103538.94600000001,10832.9004,12417.3042,31577.5362
2006,KY,Southeast,Medicare Only,570636,514103,271999,242104,0.0156,0.169,0.715,0.1,0.524,0.476,0.944,0.0465,0.0023,0.0029,0.0002,0.0042,0.0104,0.0661,0.157,0.234,0.395,0.53,0.312,0.0351,0.0353,0.0828,300071.0,348110.0,399978.0,148066.0,208828.0,3771596156,1325253485.0,20114666.0,104246958.0,229736153.0,126208657.0,113022213.0,233995930.0,,,,,,,,,,5934.6143999999995,37719.039600000004,89589.852,133528.824,225401.22,302437.08,178038.432,20143.4508,20029.3236,47248.6608
2006,LA,Southeast,Medicare Only,489583,391988,203858,188130,0.0117,0.127,0.751,0.11,0.517,0.483,0.784,0.186,0.0039,0.0195,0.0009,0.0057,0.0074,0.0674,0.158,0.23,0.365,0.534,0.321,0.0388,0.0347,0.0894,226938.0,266909.0,286329.0,105173.0,187055.0,3720155536,907707073.0,38422566.0,93688819.0,193800517.0,121649721.0,81662813.0,205001904.0,,,,,,,,,,3622.9142,32997.8942,77354.114,112604.09000000001,178697.79499999998,261437.32200000001,157156.143,16988.5301,18995.8204,43768.720199999996
2006,MA,Northeast,Medicare Only,792026,573943,325240,248703,0.0072,0.0745,0.774,0.145,0.558,0.442,0.939,0.0254,0.0093,0.0167,0.0003,0.0098,0.0102,0.0981,0.148,0.206,0.405,0.527,0.298,0.0371,0.0318,0.101,351882.0,397640.0,432515.0,119853.0,289820.0,6232150087,1670602448.0,49037472.0,76187736.0,281903169.0,160628543.0,68101768.0,282550974.0,,,,,,,,,,8078.6652,77697.7506,117219.848,163157.356,320770.53,417397.702,236023.748,25186.4268,29384.1646,79994.626
2006,MD,Southeast,Medicare Only,642046,556373,314838,241535,0.0088,0.0877,0.777,0.126,0.555,0.445,0.762,0.196,0.0188,0.0132,0.0004,0.0095,0.0103,0.0763,0.154,0.246,0.446,0.566,0.311,0.0441,0.0425,0.122,347897.0,391711.0,445364.0,136490.0,181832.0,5334655316,2225958716.0,13025272.0,148935518.0,331723771.0,234254707.0,92570833.0,211977406.0,,,,,,,,,,6613.0738,48988.109800000006,98875.084,157943.316,286352.516,363398.03599999996,199676.306,27286.955,28314.2286,78329.612
2006,ME,Northeast,Medicare Only,184127,171042,90663,80379,0.0079,0.108,0.769,0.115,0.523,0.477,0.985,0.002,0.0024,0.0028,0.0014,0.0061,0.0106,0.0824,0.116,0.202,0.399,0.482,0.261,0.03,0.0349,0.07,96681.0,113886.0,117760.0,38536.0,61373.0,1055539934,364170137.0,4720600.0,24101321.0,66709901.0,30534877.0,23051725.0,55288378.0,,,,,,,,,,1951.7462,15172.0648,21358.732,37193.654,73466.67300000001,88749.21399999999,48057.147000000004,6426.0323,5523.8099999999995,12888.890000000001
2006,MI,Midwest,Medicare Only,1338967,1224936,676513,548423,0.0094,0.105,0.762,0.123,0.547,0.453,0.88,0.095,0.0054,0.0117,0.0024,0.0057,0.0105,0.0742,0.17,0.267,0.409,0.53,0.375,0.0391,0.0336,0.0912,775787.0,886277.0,921079.0,362101.0,418991.0,10045433314,3436446723.0,59308950.0,294018339.0,723487626.0,397063234.0,238107662.0,415105016.0,,,,,,,,,,14059.1535,99351.3514,227624.39,357504.189,547637.5029999999,709652.51,502112.625,44989.2912,52353.6097,122113.7904
2006,MN,Midwest,Medicare Only,626284,466114,255054,211060,0.0067,0.0692,0.788,0.136,0.545,0.455,0.969,0.0102,0.0053,0.0053,0.0045,0.0059,0.0084,0.0744,0.116,0.177,0.287,0.404,0.222,0.0259,0.0321,0.0506,259937.0,309083.0,338937.0,116978.0,313918.0,4010382486,1267591262.0,15659339.0,90550255.0,194151743.0,95348916.0,61946413.0,273060905.0,,,,,,,,,,5260.785599999999,46595.529599999994,72648.944,110852.268,179743.50799999997,253018.736,139035.048,20103.716399999998,16220.7556,31689.9704
2006,MO,Midwest,Medicare Only,799176,637902,349961,287941,0.0099,0.106,0.763,0.121,0.544,0.456,0.917,0.0663,0.0038,0.0072,0.0012,0.0044,0.0094,0.0711,0.145,0.213,0.359,0.503,0.297,0.0382,0.0331,0.102,374532.0,430134.0,480791.0,165637.0,353413.0,5253093539,1515239317.0,30027059.0,140971531.0,297197032.0,145145462.0,122007836.0,342485982.0,,,,,,,,,,7512.254400000001,56821.4136,115880.51999999999,170224.48799999998,286904.184,401985.528,237355.272,26452.725599999998,30528.5232,81515.95199999999
2006,MS,Southeast,Medicare Only,333421,311412,165383,146029,0.0149,0.156,0.734,0.0949,0.525,0.475,0.797,0.191,0.0025,0.004,0.0011,0.0038,0.0084,0.056,0.139,0.222,0.291,0.502,0.263,0.0348,0.0273,0.0604,175614.0,206348.0,235815.0,89176.0,138698.0,2189813694,698959979.0,28262353.0,73239869.0,131874858.0,69620234.0,70452136.0,149881817.0,,,,,,,,,,2800.7364,18671.576,46345.51900000001,74019.462,97025.511,167377.342,87689.723,9102.3933,11603.050799999999,20138.6284
2006,MT,West,Medicare Only,137830,126492,66087,60405,0.0069,0.0929,0.774,0.126,0.515,0.485,0.957,0.0015,0.0029,0.0076,0.0255,0.0058,0.0074,0.0666,0.121,0.164,0.248,0.376,0.216,0.0263,0.0251,0.0395,70615.0,79883.0,77874.0,32102.0,56938.0,766231130,249424786.0,1545723.0,26460633.0,56318583.0,19271990.0,24174987.0,47345824.0,,,,,,,,,,1019.942,9179.478000000001,16677.43,22604.120000000003,34181.84,51824.08,29771.28,3459.533,3624.929,5444.285
2006,NC,Southeast,Medicare Only,1085199,945650,518826,426824,0.0099,0.129,0.763,0.0975,0.543,0.457,0.843,0.138,0.0042,0.0063,0.003,0.0062,0.0089,0.0678,0.127,0.234,0.379,0.501,0.255,0.0326,0.0314,0.0605,570953.0,653835.0,761026.0,267326.0,442772.0,7103338794,2213631189.0,33397417.0,208992665.0,436744427.0,233144930.0,192405093.0,483356861.0,,,,,,,,,,9658.2711,73576.4922,137820.27300000002,253936.56600000002,411290.42100000003,543684.699,276725.745,34075.2486,35377.4874,65654.5395
2006,ND,Midwest,Medicare Only,94250,87245,48321,38924,0.0068,0.0679,0.775,0.15,0.546,0.454,0.971,0.0014,0.0019,0.0026,0.0174,0.0054,0.0086,0.0675,0.142,0.198,0.346,0.467,0.27,0.0249,0.0292,0.0569,47869.0,60417.0,59110.0,24596.0,53928.0,552099009,179956836.0,2501728.0,15899196.0,34616689.0,13015254.0,13849295.0,43100454.0,,,,,,,,,,810.55,6361.875,13383.499999999998,18661.5,32610.499999999996,44014.75,25447.5,2752.1,2346.825,5362.825
2006,NE,Midwest,Medicare Only,236682,209821,117525,92294,0.0065,0.0711,0.78,0.142,0.552,0.448,0.955,0.021,0.0039,0.0127,0.0025,0.0051,0.0073,0.0787,0.137,0.188,0.3,0.444,0.266,0.0283,0.029,0.0606,126959.0,143379.0,159919.0,55209.0,118718.0,1540780319,495801461.0,5466781.0,57762349.0,97915391.0,40852405.0,38046499.0,104558694.0,,,,,,,,,,1727.7786,18626.8734,32425.434,44496.216,71004.59999999999,105086.808,62957.412000000004,6863.778,6698.1006,14342.9292
2006,NH,Northeast,Medicare Only,178661,162340,89201,73139,0.014,0.107,0.76,0.118,0.539,0.461,0.973,0.0101,0.0041,0.0063,0.0004,0.006,0.0088,0.0861,0.12,0.208,0.415,0.501,0.258,0.0311,0.0357,0.0753,90491.0,108684.0,108742.0,36136.0,53184.0,1089053208,350974716.0,12962662.0,17514111.0,65191876.0,27596606.0,23380600.0,54936690.0,,,,,,,,,,1572.2168000000001,15382.712099999999,21439.32,37161.488,74144.315,89509.16100000001,46094.538,6378.197700000001,5556.3571,13453.1733
2006,NJ,Northeast,Medicare Only,1105963,929684,528764,400920,0.0094,0.0862,0.77,0.134,0.56,0.44,0.836,0.0891,0.0183,0.0473,0.0003,0.0093,0.0094,0.0932,0.184,0.259,0.482,0.58,0.391,0.0448,0.0368,0.154,598386.0,644315.0,749144.0,202854.0,406217.0,9421121816,3013704584.0,79118420.0,251926289.0,616644158.0,424121396.0,132818289.0,524310472.0,,,,,,,,,,10396.0522,103075.7516,203497.192,286444.417,533074.166,641458.5399999999,432431.533,40699.4384,49547.1424,170318.302
2006,NM,Southwest,Medicare Only,230407,167797,85632,82165,0.0092,0.112,0.772,0.107,0.513,0.487,0.684,0.0144,0.0052,0.255,0.035,0.006,0.0078,0.0477,0.127,0.194,0.302,0.411,0.226,0.0288,0.0357,0.064,88426.0,99753.0,107397.0,41030.0,82639.0,1366366992,317318137.0,5200373.0,30892668.0,69509933.0,35141894.0,37845351.0,68960596.0,,,,,,,,,,1797.1745999999998,10990.4139,29261.689000000002,44698.958,69582.914,94697.27699999999,52071.982,8225.529900000001,6635.7216,14746.048
2006,NV,West,Medicare Only,284548,181524,90804,90720,0.0105,0.105,0.8,0.0846,0.504,0.496,0.827,0.0585,0.0327,0.0622,0.0057,0.0135,0.0059,0.0585,0.121,0.193,0.358,0.445,0.263,0.0351,0.0323,0.0785,99647.0,114975.0,124702.0,40175.0,117752.0,2051233423,415222809.0,9085157.0,43127987.0,104448365.0,76297390.0,38707639.0,104539909.0,,,,,,,,,,1678.8332,16646.058,34430.308,54917.764,101868.184,126623.86,74836.124,9190.9004,9987.6348,22337.018
2006,NY,Northeast,Medicare Only,2257795,1564324,869488,694836,0.0085,0.101,0.757,0.133,0.552,0.448,0.819,0.0971,0.0185,0.0514,0.001,0.0126,0.0085,0.0825,0.165,0.241,0.438,0.528,0.354,0.0382,0.0319,0.111,948929.0,1063615.0,1188245.0,339173.0,670806.0,17168349249,4764086653.0,163818762.0,364298150.0,1001106750.0,680363168.0,219449504.0,686822102.0,,,,,,,,,,19191.2575,186268.08750000002,372536.17500000005,544128.595,988914.21,1192115.76,799259.4299999999,72023.6605,86247.769,250615.245
2006,OH,Midwest,Medicare Only,1581725,1259848,699145,560703,0.01,0.0869,0.779,0.124,0.552,0.448,0.906,0.0762,0.0048,0.0073,0.0002,0.0056,0.0098,0.079,0.16,0.241,0.424,0.551,0.322,0.0393,0.0337,0.0983,777224.0,883084.0,968321.0,334463.0,524956.0,11142569075,3277414863.0,85823497.0,276892505.0,612306349.0,315450386.0,229349288.0,507240262.0,,,,,,,,,,15500.904999999999,124956.275,253076.0,381195.725,670651.4,871530.4750000001,509315.45,53304.1325,62161.7925,155483.5675
2006,OK,Southwest,Medicare Only,476692,406204,218734,187470,0.0094,0.111,0.77,0.11,0.533,0.467,0.876,0.042,0.0042,0.0107,0.0617,0.0052,0.0098,0.0616,0.16,0.205,0.335,0.492,0.31,0.0368,0.029,0.0724,236638.0,272578.0,302837.0,110362.0,201619.0,3290008195,935528854.0,29475754.0,109541344.0,183887313.0,105795426.0,87201715.0,211583339.0,,,,,,,,,,4671.5815999999995,29364.2272,76270.72,97721.86,159691.82,234532.464,147774.52,13824.068000000001,17542.2656,34512.5008
2006,OR,West,Medicare Only,496121,295225,152991,142234,0.0072,0.0873,0.769,0.136,0.532,0.468,0.951,0.0086,0.0118,0.0151,0.0062,0.0074,0.0079,0.0719,0.124,0.18,0.295,0.39,0.205,0.0291,0.0305,0.0597,159177.0,182109.0,204907.0,69669.0,240505.0,3104145126,661002366.0,7881642.0,60261406.0,119758976.0,50861393.0,49051623.0,189627617.0,,,,,,,,,,3919.3559000000005,35671.0999,61519.004,89301.78,146355.69499999998,193487.19,101704.805,15131.690499999999,14437.1211,29618.423700000003
2006,PA,Northeast,Medicare Only,1901134,1257582,707460,550122,0.0074,0.0859,0.769,0.138,0.557,0.443,0.921,0.0586,0.0059,0.0092,0.0002,0.0053,0.0106,0.0915,0.162,0.24,0.442,0.552,0.334,0.044,0.0326,0.167,786896.0,842109.0,912413.0,315999.0,856434.0,14635812186,3427459088.0,74036740.0,325149085.0,658774015.0,319677740.0,206685091.0,799081010.0,,,,,,,,,,20152.0204,173953.761,307983.708,456272.16,840301.228,1049425.968,634978.756,61976.9684,83649.896,317489.378
2006,RI,Northeast,Medicare Only,143541,77699,43660,34039,0.0082,0.102,0.747,0.143,0.557,0.443,0.938,0.0201,0.0059,0.0244,0.0011,0.0104,0.01,0.0894,0.144,0.215,0.443,0.552,0.314,0.0346,0.02,0.162,47087.0,52499.0,58242.0,16570.0,73177.0,1043920213,215218293.0,6570704.0,12309210.0,39159992.0,22257426.0,9135377.0,64728923.0,,,,,,,,,,1435.41,12832.5654,20669.904,30861.315,63588.663,79234.63200000001,45071.874,2870.82,4966.518599999999,23253.642
2006,SC,Southeast,Medicare Only,559761,516551,279990,236561,0.0104,0.138,0.758,0.0939,0.536,0.464,0.812,0.174,0.0034,0.0057,0.0005,0.0044,0.0081,0.0679,0.128,0.244,0.414,0.547,0.267,0.0375,0.0296,0.0734,317578.0,358175.0,414683.0,146178.0,194544.0,3690844723,1223082884.0,21202743.0,133654116.0,256226507.0,138188212.0,110321736.0,227135021.0,,,,,,,,,,4534.0641,38007.7719,71649.408,136581.684,231741.05399999997,306189.26700000005,149456.187,16568.925600000002,20991.0375,41086.45740000001
2006,SD,Midwest,Medicare Only,113163,105669,57786,47883,0.0066,0.0724,0.78,0.141,0.537,0.463,0.964,0.0021,0.0024,0.0034,0.0238,0.0045,0.0085,0.0646,0.133,0.178,0.291,0.421,0.237,0.023,0.0277,0.0562,60961.0,71140.0,80003.0,28332.0,58049.0,641799045,214838273.0,2741517.0,20776892.0,44102380.0,18361094.0,18808677.0,47264670.0,,,,,,,,,,961.8855000000001,7310.3298,15050.679,20143.014,32930.433,47641.623,26819.630999999998,3134.6151,2602.749,6359.7606
2006,TN,Southeast,Medicare Only,716089,584531,320890,263641,0.0055,0.101,0.787,0.107,0.543,0.457,0.908,0.0799,0.0033,0.004,0.0004,0.0042,0.0092,0.0688,0.14,0.22,0.366,0.516,0.287,0.038,0.025,0.0706,351342.0,406259.0,468356.0,164602.0,294121.0,4743352401,1320334413.0,35934011.0,150484652.0,255841252.0,143519235.0,121073440.0,336797118.0,,,,,,,,,,6588.0188,49266.9232,100252.46,157539.58,262088.574,369501.924,205517.54299999998,17902.225000000002,27211.381999999998,50555.8834
2006,TX,Southwest,Medicare Only,2198993,1862206,997761,864445,0.0121,0.106,0.779,0.103,0.529,0.471,0.764,0.0854,0.0103,0.134,0.0015,0.005,0.0083,0.0654,0.159,0.219,0.373,0.497,0.306,0.0396,0.0341,0.088,1086189.0,1248957.0,1416897.0,489383.0,809060.0,16791861081,4530624410.0,140631422.0,526695844.0,1002377081.0,630964540.0,412065820.0,867999290.0,,,,,,,,,,18251.6419,143814.1422,349639.887,481579.467,820224.389,1092899.521,672891.858,74985.66129999999,87080.12280000001,193511.384
2006,UT,West,Medicare Only,228088,186723,101348,85375,0.0111,0.0769,0.792,0.12,0.533,0.467,0.946,0.004,0.0114,0.0294,0.0028,0.0066,0.006,0.0672,0.146,0.197,0.254,0.363,0.23,0.0307,0.0206,0.0586,116636.0,118084.0,130071.0,52115.0,88445.0,1398818368,354710469.0,4244636.0,39579232.0,93047014.0,34064806.0,48531067.0,81408132.0,,,,,,,,,,1368.528,15327.513599999998,33300.848,44933.336,57934.352,82795.944,52460.240000000005,4698.6128,7002.301600000001,13365.9568
2006,VA,Northeast,Medicare Only,904640,806301,445880,360421,0.0117,0.114,0.764,0.111,0.545,0.455,0.821,0.144,0.0153,0.0113,0.0004,0.0079,0.0086,0.0721,0.131,0.231,0.39,0.517,0.262,0.0362,0.0322,0.0669,478034.0,542393.0,640747.0,205883.0,316430.0,5460024230,1779205545.0,33142526.0,195338239.0,362936993.0,179589288.0,142020963.0,335547791.0,,,,,,,,,,7779.904,65224.543999999994,118507.84000000001,208971.84,352809.60000000003,467698.88,237015.68000000002,29129.408,32747.968000000004,60520.416
2006,VT,Northeast,Medicare Only,77207,71738,38121,33617,0.0072,0.0867,0.79,0.116,0.523,0.477,0.981,0.0023,0.0031,0.0047,0.0003,0.0084,0.0088,0.0784,0.108,0.182,0.326,0.432,0.228,0.0276,0.0287,0.0553,38980.0,46476.0,47665.0,14333.0,25290.0,438312104,157643647.0,1605021.0,9652337.0,26284593.0,9540854.0,8385686.0,24729226.0,,,,,,,,,,679.4216,6053.0288,8338.356,14051.673999999999,25169.482,33353.424,17603.196,2215.8409,2130.9132,4269.5471
